"","ExperimentName","Subject","Session","Clock.Information","DataFile.Basename","Display.RefreshRate","ExperimentVersion","Group","RandomSeed","RuntimeCapabilities","RuntimeVersion","RuntimeVersionExpected","SessionDate","SessionStartDateTimeUtc","SessionTime","StudioVersion","Block","AccErrorTotal","MathCorrect","MathDuration","MathErrorTotal","mathtime.Block.","OSPAN","OSPAN.Cycle","OSPAN.Sample","OspanAbsoluteScore","OspanPartialScore","OspanPartialScoreBlock1","OspanPartialScoreBlock2","OspanPartialScoreBlock3","OspanScore","OspanTotal","Procedure.Block.","Running.Block.","SpeedErrorTotal","Trial","answer","BlockList1","BlockList1.Cycle","BlockList1.Sample","BlockList2","BlockList2.Cycle","BlockList2.Sample","BlockList3","BlockList3.Cycle","BlockList3.Sample","CorrectAnswer.Trial.","CorrectAnswerRecord.Trial.","correctResp","LetterPracticeList","LetterPracticeList.Cycle","LetterPracticeList.Sample","math.ACC","math.RT","MathPracticeList","MathPracticeList.Cycle","MathPracticeList.Sample","mathProblems","mathtime.Trial.","numberwrong","PracticeMode","PracticeOSPANlist","PracticeOSPANlist.Cycle","PracticeOSPANlist.Sample","problem","problem.RT","problems","Procedure.Trial.","ReadyForTrial.ACC","ReadyForTrial.RT","Running.Trial.","setlength","setsi","setsize1","setsize2","setsize3","setsz","sizeset","SpanScore.Trial.","SpanTotal.Trial.","SubTrial","CorrectAnswer.SubTrial.","correctAnswerPercentage","correctAnswerPercentage1","correctAnswerPercentage2","CorrectAnswerRecord.SubTrial.","difficulty","letters","lettershow","letterstimuli","MathCorr","operations","operations1","operations2","percrand","PracticeLetterList","practicelist","practicelist.Cycle","practicelist.Sample","practicerecall","practicerecall.Cycle","practicerecall.Sample","Procedure.SubTrial.","randomnumber","randomnumber1","randomnumber2","recalList","recalList.Cycle","recalList.Sample","recalList1","recalList1.Cycle","recalList1.Sample","recalList2","recalList2.Cycle","recalList2.Sample","ResponseRecord","Running.SubTrial.","secondOperation","secondOperation1","secondOperation2","showcorrect","SpanScore.SubTrial.","SpanTotal.SubTrial.","SpanTotalBlock1","SpanTotalBlock2","SpanTotalBlock3","stims","stims1","stims2","Tones","TrialList","TrialList.Cycle","TrialList.Sample","TrialList1","TrialList1.Cycle","TrialList1.Sample","TrialList2","TrialList2.Cycle","TrialList2.Sample","Subject.1","Response.Type","Strategy.RESP"
"901","Tone Span Fall2017_itemScoring",1011,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-17T17:39:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117841</Frequency><Timestamp dt:dt=""r8"">362766652910</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-17T17:39:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1011-1",59.933,"1.0.0.175",1,1989600502,"Professional","2.0.10.356","2.0.10.356","11/17/17","11/17/17 17:39","11:39:01","2.0.10.252",4,4,76,NA,4,1508.671053,5,1,4,3,34,11,14,9,NA,NA,"SessionProc","OSPAN",0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"LHMHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4061,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,4,NA,NA,5,NA,"?","?",1,TRUE,4,NA,NA,"LHMHM",1,NA,NA,"L",TRUE,20,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"TrialProc",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",15,NA,NA,1,"?","?",NA,NA,NA,1,NA,NA,"Low.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1011","NO RESPONSE",""
"991","Tone Span Fall2017_itemScoring",1012,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-16T19:00:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">108982324936</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-16T19:00:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1012-1",59.932,"1.0.0.175",1,1608343131,"Professional","2.0.10.356","2.0.10.356","11/16/17","11/16/17 19:00","13:00:24","2.0.10.252",4,4,75,NA,5,2518.666667,5,1,4,21,59,20,19,20,NA,NA,"SessionProc","OSPAN",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"HMLL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7462,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,3,NA,NA,4,NA,"?","?",1,FALSE,10,NA,NA,"HMLL",2,NA,NA,"H",FALSE,46,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",15,NA,NA,2,"?","?",NA,NA,NA,3,NA,NA,"High.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1012","RESPONSE","Repeating the sequence of noises in my head when a new one was added "
"1081","Tone Span Fall2017_itemScoring",1013,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-20T18:39:06Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">1182309821181</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-20T18:39:06Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1013-1",59.932,"1.0.0.175",1,1194017044,"Professional","2.0.10.356","2.0.10.356","11/20/17","11/20/17 18:39","12:39:06","2.0.10.252",4,5,74,NA,7,3494.689189,5,1,4,37,62,20,23,19,NA,NA,"SessionProc","OSPAN",2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"LHMLH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8355,1,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,4,NA,NA,5,NA,"?","?",1,FALSE,7,NA,NA,"LHMLH",1,NA,NA,"L",FALSE,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",8,NA,NA,2,"?","?",NA,NA,NA,1,NA,NA,"Low.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1013","RESPONSE","counting how many sounds there were "
"1171","Tone Span Fall2017_itemScoring",1014,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-20T18:47:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">3231424397411</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-20T18:47:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1014-1",59.932,"1.0.0.175",1,1609589040,"Professional","2.0.10.356","2.0.10.356","11/20/17","11/20/17 18:47","12:47:36","2.0.10.252",4,1,75,NA,5,3583.693333,5,1,4,16,38,11,11,16,NA,NA,"SessionProc","OSPAN",4,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"LHMM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6560,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,3,NA,NA,4,NA,"?","?",1,FALSE,10,NA,NA,"LHMM",1,NA,NA,"L",FALSE,18,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",15,NA,NA,2,"?","?",NA,NA,NA,1,NA,NA,"Low.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1014","RESPONSE","Sequencing LMH when in order and just remembering order or reverse order as one tone  "
"1261","Tone Span Fall2017_itemScoring",1015,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-21T18:54:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">3502139165340</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-21T18:54:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1015-1",59.932,"1.0.0.175",1,1741020400,"Professional","2.0.10.356","2.0.10.356","11/21/17","11/21/17 18:54","12:54:58","2.0.10.252",4,1,80,NA,1,2262.775,5,1,4,23,56,19,18,19,NA,NA,"SessionProc","OSPAN",0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"MHLLHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4806,1,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,5,NA,NA,6,NA,"?","?",1,FALSE,9,NA,NA,"MHLLHM",1,NA,NA,"M",FALSE,34,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",13,NA,NA,2,"?","?",NA,NA,NA,2,NA,NA,"Middle.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1015","RESPONSE","repeating the order of every set of tones over in my head after a new tone was played  "
"1351","Tone Span Fall2017_itemScoring",1016,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-21T18:54:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">1454464881080</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-21T18:54:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1016-1",59.932,"1.0.0.175",1,-1528831041,"Professional","2.0.10.356","2.0.10.356","11/21/17","11/21/17 18:54","12:54:12","2.0.10.252",4,8,71,NA,9,2882.028169,5,1,4,0,24,8,7,9,NA,NA,"SessionProc","OSPAN",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"HMLHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6597,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,4,NA,NA,5,NA,"?","?",1,FALSE,9,NA,NA,"HMLHL",1,NA,NA,"H",FALSE,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",5,NA,NA,2,"?","?",NA,NA,NA,3,NA,NA,"High.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1016","RESPONSE","the tones were hard for me to remember. "
"1441","Tone Span Fall2017_itemScoring",1019,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-27T20:42:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">5138247672210</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-27T20:42:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1019-1",59.932,"1.0.0.175",1,1466989323,"Professional","2.0.10.356","2.0.10.356","11/27/17","11/27/17 20:42","14:42:14","2.0.10.252",4,1,78,NA,2,3143.782051,5,1,4,15,33,9,12,12,NA,NA,"SessionProc","OSPAN",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"MHLHLMM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8395,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,6,NA,NA,7,NA,"?","?",1,TRUE,3,NA,NA,"MHLHLMM",2,NA,NA,"M",TRUE,38,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"TrialProc",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",8,NA,NA,1,"?","?",NA,NA,NA,2,NA,NA,"Middle.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1019","RESPONSE","i tried using my fingers to remember which tone went in which order to help visualize "
"1531","Tone Span Fall2017_itemScoring",1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-28T16:13:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">3309599115636</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-28T16:13:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1020-1",59.932,"1.0.0.175",1,-1820466527,"Professional","2.0.10.356","2.0.10.356","11/28/17","11/28/17 16:13","10:13:02","2.0.10.252",4,5,73,NA,8,3056.986301,5,1,4,19,56,17,19,20,NA,NA,"SessionProc","OSPAN",3,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"LHML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6072,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,3,NA,NA,4,NA,"?","?",1,FALSE,9,NA,NA,"LHML",1,NA,NA,"L",FALSE,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",5,NA,NA,2,"?","?",NA,NA,NA,1,NA,NA,"Low.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1020","RESPONSE","I sang the notes in my head in order to register them on a mental note chart. "
"1621","Tone Span Fall2017_itemScoring",1021,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-28T18:57:06Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">5387918649326</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-28T18:57:06Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1021-1",59.932,"1.0.0.175",1,2029861283,"Professional","2.0.10.356","2.0.10.356","11/28/17","11/28/17 18:57","12:57:07","2.0.10.252",4,18,62,NA,19,3085.774194,5,1,4,10,42,16,11,15,NA,NA,"SessionProc","OSPAN",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"HMLMHLL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6778,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,6,NA,NA,7,NA,"?","?",1,TRUE,1,NA,NA,"HMLMHLL",1,NA,NA,"H",TRUE,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"TrialProc",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",5,NA,NA,1,"?","?",NA,NA,NA,3,NA,NA,"High.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1021","RESPONSE","i tried remembering the sounds of the patterns so it would be easier "
"1711","Tone Span Fall2017_itemScoring",1022,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-28T18:56:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">3340225527048</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-28T18:56:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1022-1",59.932,"1.0.0.175",1,-1258828313,"Professional","2.0.10.356","2.0.10.356","11/28/17","11/28/17 18:56","12:56:46","2.0.10.252",4,7,72,NA,9,1861.652778,5,1,4,45,63,17,25,21,NA,NA,"SessionProc","OSPAN",2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"LMHML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3527,1,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,4,NA,NA,5,NA,"?","?",1,FALSE,7,NA,NA,"LMHML",2,NA,NA,"L",FALSE,47,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",8,NA,NA,2,"?","?",NA,NA,NA,1,NA,NA,"Low.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1022","RESPONSE","I attempted to memorize the order and repeat it adding in the new tone (e.g. Medium, Medium-Low, Medium-Low-High)h) "
"1801","Tone Span Fall2017_itemScoring",500,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-27T17:56:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2822988</Frequency><Timestamp dt:dt=""r8"">151734977416</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-27T17:56:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-500-1",59.73,"1.0.0.166",1,1411656329,"Professional","2.0.10.353","2.0.10.353","9/27/17","9/27/17 17:56","12:56:02","2.0.10.248",4,6,73,NA,7,4066.972603,5,1,4,62,72,24,25,23,NA,NA,"SessionProc","OSPAN",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"MLH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14425,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,2,NA,NA,3,NA,"?","?",1,FALSE,8,NA,NA,"MLH",1,NA,NA,"M",FALSE,36,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",18,NA,NA,2,"?","?",NA,NA,NA,2,NA,NA,"Middle.wav",1,8,7,NA,NA,NA,NA,NA,NA,"500","NO RESPONSE",""
"1891","Tone Span Fall2017_itemScoring",501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-27T19:40:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2822988</Frequency><Timestamp dt:dt=""r8"">169367624129</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-27T19:40:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-501-1",59.73,"1.0.0.166",1,1864471992,"Professional","2.0.10.353","2.0.10.353","9/27/17","9/27/17 19:40","14:40:09","2.0.10.248",4,2,78,NA,2,3003.641026,5,1,4,41,57,17,19,21,NA,NA,"SessionProc","OSPAN",0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"MHLMHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8111,1,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,5,NA,NA,6,NA,"?","?",1,FALSE,10,NA,NA,"MHLMHL",1,NA,NA,"M",FALSE,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",3,NA,NA,2,"?","?",NA,NA,NA,2,NA,NA,"Middle.wav",1,8,7,NA,NA,NA,NA,NA,NA,"501","NO RESPONSE",""
"1981","Tone Span Fall2017_itemScoring",502,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-28T14:38:29Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2822988</Frequency><Timestamp dt:dt=""r8"">362140773227</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-28T14:38:29Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-502-1",59.73,"1.0.0.166",1,1363702153,"Professional","2.0.10.353","2.0.10.353","9/28/17","9/28/17 14:38","9:38:29","2.0.10.248",4,2,78,NA,3,3439.769231,5,1,4,48,65,22,19,24,NA,NA,"SessionProc","OSPAN",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"HLMH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8806,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,3,NA,NA,4,NA,"?","?",1,FALSE,8,NA,NA,"HLMH",1,NA,NA,"H",FALSE,27,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",15,NA,NA,2,"?","?",NA,NA,NA,3,NA,NA,"High.wav",1,8,7,NA,NA,NA,NA,NA,NA,"502","EMAILED "," I would replay the tone pattern in my head over and over again. That made it a lot easier."
"2071","Tone Span Fall2017_itemScoring",503,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-28T17:14:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2822988</Frequency><Timestamp dt:dt=""r8"">388479787293</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-28T17:14:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-503-1",59.73,"1.0.0.166",1,1932913780,"Professional","2.0.10.353","2.0.10.353","9/28/17","9/28/17 17:14","12:14:00","2.0.10.248",4,0,76,NA,4,2451.513158,5,1,4,46,64,25,18,21,NA,NA,"SessionProc","OSPAN",4,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"HMLLMHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4993,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,6,NA,NA,7,NA,"?","?",1,TRUE,5,NA,NA,"HMLLMHM",1,NA,NA,"H",TRUE,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"TrialProc",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",5,NA,NA,1,"?","?",NA,NA,NA,3,NA,NA,"High.wav",1,8,7,NA,NA,NA,NA,NA,NA,"503","NO RESPONSE",""
"2161","Tone Span Fall2017_itemScoring",504,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-09-28T19:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2822988</Frequency><Timestamp dt:dt=""r8"">411410843165</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-09-28T19:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-504-1",59.73,"1.0.0.166",1,-905835555,"Professional","2.0.10.353","2.0.10.353","9/28/17","9/28/17 19:29","14:29:24","2.0.10.248",4,9,66,NA,12,12847.06061,5,1,4,62,73,24,25,24,NA,NA,"SessionProc","OSPAN",3,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"MLHMHLM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27556,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,6,NA,NA,7,NA,"?","?",1,TRUE,5,NA,NA,"MLHMHLM",1,NA,NA,"M",TRUE,32,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"TrialProc",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",6,NA,NA,1,"?","?",NA,NA,NA,2,NA,NA,"Middle.wav",1,8,7,NA,NA,NA,NA,NA,NA,"504","NO RESPONSE",""
